1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
2,3,1,1,Iris-setosa
2,3,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
2,3,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
2,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
2,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,3,1,1,Iris-setosa
1,2,1,1,Iris-setosa
3,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
3,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
3,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,3,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
3,1,2,2,Iris-versicolor
3,2,3,3,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,3,2,Iris-versicolor
1,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
3,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,3,3,Iris-virginica
2,1,3,3,Iris-virginica
3,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
3,2,3,3,Iris-virginica
1,1,2,3,Iris-virginica
3,2,3,3,Iris-virginica
3,1,3,3,Iris-virginica
3,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,1,3,3,Iris-virginica
3,2,3,3,Iris-virginica
2,1,3,3,Iris-virginica
2,1,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
3,3,3,3,Iris-virginica
3,1,3,3,Iris-virginica
2,1,3,2,Iris-virginica
3,2,3,3,Iris-virginica
2,1,2,3,Iris-virginica
3,1,3,3,Iris-virginica
2,1,2,3,Iris-virginica
3,2,3,3,Iris-virginica
3,2,3,3,Iris-virginica
2,1,2,3,Iris-virginica
2,2,2,3,Iris-virginica
2,1,3,3,Iris-virginica
3,2,3,2,Iris-virginica
3,1,3,3,Iris-virginica
3,3,3,3,Iris-virginica
2,1,3,3,Iris-virginica
2,1,3,2,Iris-virginica
2,1,3,2,Iris-virginica
3,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,2,2,3,Iris-virginica
3,2,3,3,Iris-virginica
3,2,3,3,Iris-virginica
3,2,3,3,Iris-virginica
2,1,3,3,Iris-virginica
3,2,3,3,Iris-virginica
3,2,3,3,Iris-virginica
3,2,3,3,Iris-virginica
2,1,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
2,2,3,3,Iris-virginica
